Day	Date	Condition	Object	Latency	Total_time	Fearresponse	Exploration	Sunrise_time	Sunrise_deg	Astron_twilight	Nautical_twilight	Civil_twilight	Landing_time	LUX	Temp	Weather	Wind	Humidity	Mbar	Temp_platform
Day05	08.02.	hab	none	13.284	134.363	0	0	07:05	114	05:09	05:49	06:29	06:38	na	2	cloudy	3	0.87	1016	0.5
Day06	09.02.	hab	none	7.7	156.701	0	0	07:03	113	05:08	05:47	06:27	06:33	na	0	clear	3	0.93	1013	-1.5
Day07	10.02.	hab	none	14.036	95.758	0	0	07:01	113	05:06	05:46	06:26	06:31	na	3	clear	3	0.81	1010	1.5
Day08	11.02.	hab	none	10.695	103.217	0	0	06:59	112	05:05	05:44	06:24	06:39	na	5	cloudy	4	0.93	995	3.5
Day09	12.02.	exp	small	9.903	149.33	0	3	06:58	112	05:03	05:42	06:22	06:28	na	0	cloudy	5	0.87	1013	-1.5
Day11	14.02.	hab	none	20.585	114.598	0	0	06:54	111	05:00	05:39	06:19	06:23	na	4	cloudy	6	0.87	1029	2.5
Day12	15.02.	exp	medium	38.743	81.917	2	0	06:52	110	04:58	05:37	06:17	06:25	na	5	cloudy	2	1	1031	3.5
Day13	16.02.	hab	none	9.671	96.267	0	0	06:50	109	04:56	05:35	06:15	06:25	na	1	fog	2	1	1029	-0.5
Day14	17.02.	exp	large	31.508	108.609	0	0	06:48	109	04:54	05:33	06:13	06:22	na	2	clear	3	0.81	1022	0.5
Day15	18.02.	hab	none	13.031	45.742	0	0	06:46	108	04:52	05:31	06:11	06:18	na	5	cloudy	0	0.93	1023	3.5
Day16	19.02.	exp	small	19.228	165.246	0	7	06:44	108	04:50	05:30	06:09	06:11	na	-1	fog	3	1	1015	-2.5
Day17	20.02.	hab	none	13.304	72.814	0	0	06:42	107	04:48	05:28	06:07	06:16	na	5	cloudy	4	0.87	1013	3.5
Day18	21.02.	exp	medium	10.787	90.852	0	0	06:40	106	04:47	05:26	06:05	06:12	na	4	rain	3	0.93	1020	2.5
Day21	24.02.	hab	none	14.683	172.482	0	0	06:33	105	04:40	05:20	05:59	06:08	1.9	-1	cloudy	4	0.64	1036	-2.5
Day24	27.02.	hab	none	18.006	90.466	0	0	06:27	103	04:34	05:14	05:53	05:59	1.2	-1	clear	2	0.93	1026	-2.5
Day25	28.02.	exp	large	33.398	120.154	2	0	06:25	102	04:32	05:11	05:51	05:54	0.75	5	cloudy	3	0.66	1004	3.5
Day26	01.03.	hab	none	17.481	68.848	0	0	06:23	102	04:30	05:09	05:48	05:54	1.25	0	fog	3	1	1007	-1.5
Day29	04.03.	hab	none	6.39	77.512	0	0	06:16	100	04:23	05:03	05:42	05:59	na	8	cloudy	3	0.87	999	6.5
Day31	06.03.	hab	none	13.115	125.141	0	0	06:11	98	04:19	04:58	05:38	05:45	0.45	3	cloudy	4	0.93	1010	1.5
Day32	07.03.	exp	medium	27.224	95.133	0	0	06:09	98	04:16	04:56	05:35	05:41	1.15	3	clear	5	0.75	1006	1.5
Day33	08.03.	hab	none	9.761	101.61	0	0	06:07	97	04:14	04:54	05:33	05:40	1.65	7	clear	4	0.81	1005	5.5
Day36	11.03.	hab	none	18.278	92.111	0	0	06:00	95	04:07	04:47	05:26	05:34	1.8	1	cloudy	6	1	1001	-0.5
Day37	12.03.	exp	large	15.389	115.283	1	0	05:58	95	04:04	04:45	05:24	05:33	1.25	0	cloudy	7	0.87	1014	-1.5
Day38	13.03.	hab	none	18.964	139.721	0	0	05:55	94	04:02	04:42	05:22	05:30	1.65	0	clear	5	0.8	1008	-1.5
Day39	14.03.	exp	small	13.021	121.456	0	0	05:53	93	03:59	04:40	05:19	05:23	1.3	2	clear	4	0.87	1003	0.5
Day41	16.03.	hab	none	18.363	113.963	0	0	05:48	92	03:54	04:35	05:15	05:24	0.85	6	cloudy	10	0.71	991	4.5
Day42	17.03.	exp	medium	14.95	68.787	1	0	05:46	91	03:52	04:33	05:12	05:21	0.45	5	rain	2	1	1004	3.5
