Day	Date	Measure	time	times	addt
1	2019-02-04	Civil_twilight	06:35:00	23700	2400
2	2019-02-05	Civil_twilight	06:34:00	23640	2460
3	2019-02-06	Civil_twilight	06:32:00	23520	2400
4	2019-02-07	Civil_twilight	06:31:00	23460	2460
5	2019-02-08	Civil_twilight	06:29:00	23340	2400
6	2019-02-09	Civil_twilight	06:27:00	23220	2400
7	2019-02-10	Civil_twilight	06:26:00	23160	2400
8	2019-02-11	Civil_twilight	06:24:00	23040	2400
9	2019-02-12	Civil_twilight	06:22:00	22920	2400
10	2019-02-13	Civil_twilight	06:20:00	22800	2340
11	2019-02-14	Civil_twilight	06:19:00	22740	2400
12	2019-02-15	Civil_twilight	06:17:00	22620	2400
13	2019-02-16	Civil_twilight	06:15:00	22500	2400
14	2019-02-17	Civil_twilight	06:13:00	22380	2400
15	2019-02-18	Civil_twilight	06:11:00	22260	2400
16	2019-02-19	Civil_twilight	06:09:00	22140	2340
17	2019-02-20	Civil_twilight	06:07:00	22020	2340
18	2019-02-21	Civil_twilight	06:05:00	21900	2340
19	2019-02-22	Civil_twilight	06:03:00	21780	2340
20	2019-02-23	Civil_twilight	06:01:00	21660	2340
21	2019-02-24	Civil_twilight	05:59:00	21540	2340
22	2019-02-25	Civil_twilight	05:57:00	21420	2340
23	2019-02-26	Civil_twilight	05:55:00	21300	2340
24	2019-02-27	Civil_twilight	05:53:00	21180	2340
25	2019-02-28	Civil_twilight	05:51:00	21060	2400
26	2019-03-01	Civil_twilight	05:48:00	20880	2340
27	2019-03-02	Civil_twilight	05:46:00	20760	2340
28	2019-03-03	Civil_twilight	05:44:00	20640	2340
29	2019-03-04	Civil_twilight	05:42:00	20520	2340
30	2019-03-05	Civil_twilight	05:40:00	20400	2340
31	2019-03-06	Civil_twilight	05:38:00	20280	2400
32	2019-03-07	Civil_twilight	05:35:00	20100	2340
33	2019-03-08	Civil_twilight	05:33:00	19980	2340
34	2019-03-09	Civil_twilight	05:31:00	19860	2340
35	2019-03-10	Civil_twilight	05:29:00	19740	2400
36	2019-03-11	Civil_twilight	05:26:00	19560	2340
37	2019-03-12	Civil_twilight	05:24:00	19440	2340
38	2019-03-13	Civil_twilight	05:22:00	19320	2400
39	2019-03-14	Civil_twilight	05:19:00	19140	2340
40	2019-03-15	Civil_twilight	05:17:00	19020	2340
41	2019-03-16	Civil_twilight	05:15:00	18900	2400
42	2019-03-17	Civil_twilight	05:12:00	18720	2340
1	2019-02-04	Landing_time	06:42:45	24165	na
2	2019-02-05	Landing_time	06:44:45	24285	na
3	2019-02-06	Landing_time	na	na	na
4	2019-02-07	Landing_time	06:44:14	24254	na
5	2019-02-08	Landing_time	06:38:31	23911	na
6	2019-02-09	Landing_time	06:33:37	23617	na
7	2019-02-10	Landing_time	06:31:10	23470	na
8	2019-02-11	Landing_time	06:39:23	23963	na
9	2019-02-12	Landing_time	06:28:48	23328	na
10	2019-02-13	Landing_time	na	na	na
11	2019-02-14	Landing_time	06:23:10	22990	na
12	2019-02-15	Landing_time	06:25:35	23135	na
13	2019-02-16	Landing_time	06:25:37	23137	na
14	2019-02-17	Landing_time	06:22:14	22934	na
